16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
33	30	31	31	32	31	31	33	33	31	31	32	31	31	33	31	32	31	31	33	31	30	29	32	30	31	32	33	31	31	30	27	31
9	8	10	8	12	9	10	8	9	8	8	11	10	10	9	11	11	10	11	9	8	10	10	11	9	9	9	9	11	10	9	9	10
5	6	5	5	6	5	3	6	5	6	6	6	6	3	7	5	6	5	5	6	6	6	5	5	5	5	8	4	6	3	6	6	6
5	7	6	6	5	6	7	5	7	6	7	6	6	6	6	6	7	6	6	6	5	6	6	6	6	6	7	7	7	7	6	7	6
76	84	83	78	87	83	84	77	93	85	83	87	83	83	81	80	87	84	87	87	76	78	78	80	76	83	87	91	88	77	78	79	77
63	62	66	62	68	62	62	63	64	63	62	68	62	63	63	66	68	63	67	64	63	62	62	64	63	62	64	62	68	65	65	63	63
29	29	29	29	32	29	29	29	30	29	29	32	29	29	29	30	32	29	30	30	29	28	29	30	29	29	29	29	32	28	29	29	28
7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
52	51	50	50	55	53	53	50	54	52	51	57	52	52	48	49	55	50	51	55	49	48	53	49	50	51	52	54	57	50	49	48	49
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4
11	10	10	8	7	10	10	11	7	10	7	8	11	11	10	7	8	10	11	8	10	7	8	9	9	7	7	7	10	10	7	9	6
102	108	108	95	107	107	106	100	110	110	109	107	107	105	109	104	108	110	110	108	101	95	101	95	101	106	106	106	103	99	101	94	95
35	35	35	34	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	34	34	34	35	35	35	35	35	36	34	35	34
